Word,Count
\(Q_DIFF(k,m)\,2
\OS,\,2
(Q_DIFF(n),2
directional,2
on,2
zero,2
(M_LEVELTR(k),2
established,2
reversing,2
counting,2
trains,2
(Q_TEXTREPORT,2
Q_LENGTH,2
all,2
relevant,2
M_LEVELTEXTDISPLAY(0),2
code,2
session,2
0;,2
9,2
group(s),2
due,2
done,2
staff,2
'Contact,2
(M_LEVEL,2
(M_LEVELTR,2
3;,2
National,2
'Accepting',2
16;,2
consumption,2
field,2
SSP,2
<Special,2
where,2
section,2
TSR,2
44;,2
national,2
kilometre,2
gauge),2
time-out',2
=============================================================================,2
(k),2
signal,2
A_NVP12(k),2
responsible,2
(M_VOLTAGE,2
area,2
out,2
Bitwalker,2
(Max,2
next,2
send,2
'no,2
(Q_LENGTH,2
(loading,2
Track,2
A_NVP12,2
list,2
RBC',2
\"\System\,2
requests,2
intended,2
big,2
contain,2
outside,2
Q_DIFF(n),2
Speed,2
track,2
Can,2
Start/end,2
Group,2
((Q_LENGTH,2
(M_LEVELTEXTDISPLAY(0),2
detected,2
5;,2
\LS,\,2
temporary,2
\Q_DIFF(k,m)\,2
M_VOLTAGE(k),2
\devices,\,2
highest,2
without,2
LRBG,2
defines,2
\ok,\,2
4;,2
Messages,2
but,2
terminated,2
Q_LXSTATUS,2
often,2
how,2
(Q_TEXTCONFIRM,2
Radio,2
applies,2
supervision,2
applied,2
System,2
0D_TRACKCOND,2
M_LEVEL,2
default,2
relation,2
telephone,2
load),2
Level,2
ahead,2
go,2
M_LEVELTR(k),2
radio,2
priority,2
available,2
known,2
index,2
NID_RBC,2
Identification,2
loop,2
data,2
is/are,2
over,2
additional,2
\downhill,\,2
orientation,2
M_LEVELTEXTDISPLAY(1),2
bitwise,2
NID_PACKET,2
events,2
successive,2
pass,2
(M_LEVELTEXTDISPLAY(1),2
2;,2
system),2
Set,2
Virtual,1
net,1
V_NVKVINT,1
containing,1
up,1
67;,1
45;,1
registration,1
Q_NEWCOUNTRY(0),1
Gives,1
route,1
balise/loop,1
local,1
extension,1
\0,\,1
\{0xff,\,1
towards,1
create,1
able,1
consists,1
64;,1
groups,1
wir,1
NID_CTRACTION(k),1
(traction,1
D_PBD,1
Validated,1
numbers,1
geographical,1
Values,1
levels,1
BITWALKER_H,1
telegram(s),1
eight,1
---,1
manipulation,1
\Value="\01"\\,1
incl,1
uint8_t,1
30,1
Main,1
\Number="\2"\\,1
\mode,\,1
\telegram,\,1
(Q_VBCO,1
\Name="\Q_DIR"\\,1
(Zero,1
ensure,1
unknown,1
((M_VOLTAGE(k),1
};,1
\M_AXLELOADCAT(k,m)\,1
'standard,1
platforms,1
front,1
1111),1
68;,1
Shunting,1
operated,1
90;,1
Allowed,1
12;,1
door,1
written,1
Q_VBCO,1
12,1
15;,1
Rights,1
(Q_NEWCOUNTRY(0),1
Notification,1
command),1
place,1
Network,1
limits,1
58;,1
bool,1
==>,1
49;,1
(service,1
false,1
\only,\,1
length,1
international,1
(M_VOLTAGE(k),1
no,1
Type,1
Bitwalker.h,1
pantograph,1
iteration,1
66;,1
references,1
\run,\,1
Mode,1
SRS,1
0km/h,1
TransmissionMedia=RIU,1
same,1
6;,1
V_MAIN,1
(NID_XUSER,1
adhesion,1
\Length="\2"\\,1
normalerweise,1
136;,1
Linking,1
revocation,1
characteristics,1
Header;,1
Downloads,1
finish,1
contains,1
255,1
receiving,1
nicht),1
<Packet,1
Bit,1
21;,1
Testzwecke,1
else,1
42;,1
tricky,1
79;,1
VBC,1
Length,1
\respectively,\,1
131;,1
134;,1
order,1
Crossing,1
Den,1
0xff,1
11;,1
Q_NEWCOUNTRY(1),1
TransmissionMedia=Loop,1
Für,1
(distance,1
All,1
72;,1
header,1
32;,1
start,1
41;,1
gradient.D_GRADIENT,1
8;,1
Actual,1
will,1
102),1
inhibited,1
L_NVKRINT(1),1
Teststream[],1
onboard,1
intervention,1
well,1
Bitwalker.c,1
intensified,1
flag;,1
some,1
decoded,1
((Q_SUITABILITY(k),1
model,1
133;,1
Telephone,1
\RBC,\,1
multiple,1
update,1
\levels,\,1
shunting,1
int,1
V_NVKVINT(1)If,1
transmitting,1
Loop,1
Unit,1
before),1
21),1
PRVLRBG,1
52;,1
error,1
message/telegram,1
metal,1
introduced,1
enforced,1
speed),1
single,1
Cover,1
permitted,1
reported,1
e.g,1
area(s),1
SR,1
Defines,1
identify,1
(Q_LXSTATUS,1
main.c,1
missed,1
optionally,1
\3_3_0"\\,1
km/h,1
0D_SUITABILITY,1
support,1
packet:,1
etc.),1
haben,1
'nominal',1
TSRs,1
bitlength,1
Q_NVKINT,1
L_NVKRINT(l),1
(Q_STOPLX,1
1sIt,1
compact,1
Static,1
<TlgVar,1
aber,1
areas,1
2_0,1
mixed,1
\0000"\\,1
132;,1
noch,1
255;,1
\Length="\8"\\,1
70;,1
(the,1
27;,1
Infill,1
M_AXLELOADCAT(n),1
51;,1
bitstream,1
V_NVKVINT(n+1)If,1
138;,1
13;,1
\Description="\Nominal"\\,1
\V_NVKVINT(k,m)\,1
(1111,1
identifier,1
((Q_SUITABILITY,1
subscriber,1
switch,1
tell,1
57;,1
\SB,\,1
higher,1
(Q_NVKINT,1
depending,1
conditional,1
1.Valid,1
(Q_NVKVINTSET(k),1
\2013,\,1
V_NVKVINT(n),1
revoked,1
debugable,1
version,1
63;,1
\EB,\,1
move,1
143;,1
(e.g,1
NID_XUSER,1
141;,1
needed,1
(packet,1
\Value="\010\,1
reaction,1
(National,1
remaining,1
receiver,1
((Q_DIFF(n),1
69;,1
NID_CTRACTION,1
39;,1
NID_C,1
revocable,1
137;,1
conversion,1
76;,1
One):,1
145;,1
station,1
80;,1
reporting,1
masses,1
\TransmissionMedia="\Balise"\\,1
65;,1
more,1
\V_NVKVINT(k,m+1)gives\,1
(Q_NVKVINTSET,1
easily,1
take,1
eventcondition,1
inhibit,1
Q_STOPLX,1
Telegrammlänge,1
9;,1
control,1
reduced,1
',1
L_NVKRINT(l+1),1
Reserved,1
prepare,1
><TlgVar,1
(c),1
(NID_CTRACTION(k),1
(NTC),1
announces,1
135;,1
contained,1
ERTMS,1
L_TEXT,1
V_NVKVINT(k),1
139;,1
ask,1
free,1
desk,1
(Q_NEWCOUNTRY(1),1
40;,1
functions),1
\Name="\System\,1
opnETCS_Decoder.h,1
type,1
sets/removes,1
enter,1
second,1
\((Q_DIFF(k,m)\,1
\V_NVKVINT(k,1)\,1
aspect,1
0m,1
follows,1
In,1
46;,1
88;,1
consistency,1
opening,1
minimum,1
\Name="\NID_PACKET"\\,1
0D_AXLELOAD,1
L_NVKRINT,1
acts,1
140;,1
Error,1
102,1
part,1
equal,1
allowed,1
balises,1
71;,1
height,1
specified,1
left,1
right,1
254;,1
\Description="\Version\,1
\level,\,1
true,1
neighbouring,1
ignore,1
fault,1
driver,1
\set,\,1
